2025-10-31  22:53:50.306 | info | 33gjphas4ub1d3 | Finished.
2025-10-31  22:53:50.306 | info | 33gjphas4ub1d3 | worker-comfyui - Job failed with no output images.\n
2025-10-31  22:53:50.306 | info | 33gjphas4ub1d3 | worker-comfyui - Job completed with errors/warnings: ["Workflow execution error: Node Type: KSamplerAdvanced, Node ID: 6, Message: CUDA error: no kernel image is available for execution on the device\nSearch for `cudaErrorNoKernelImageForDevice' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n\n"]\n
2025-10-31  22:53:50.306 | info | 33gjphas4ub1d3 | worker-comfyui - Closing websocket connection.\n
2025-10-31  22:53:50.306 | info | 33gjphas4ub1d3 | 
2025-10-31  22:53:50.306 | info | 33gjphas4ub1d3 | worker-comfyui - Processing 0 output nodes...\n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | worker-comfyui - No outputs found in history for prompt 523b4e1b-d2f9-4eef-8c4e-c0aa464455cd.\n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | worker-comfyui - Fetching history for prompt 523b4e1b-d2f9-4eef-8c4e-c0aa464455cd...\n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | \n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | \n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | For debugging consider passing CUDA_LAUNCH_BLOCKING=1\n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\n
2025-10-31  22:53:50.093 | info | 33gjphas4ub1d3 | Search for `cudaErrorNoKernelImageForDevice' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.\n
